日付,受付番号,通番,場名,曜日,レース,式別,馬／組番,購入金額,的中／返還,払戻単価,払戻金額,返還金額
20260125,0007,01,京都,日,11,枠連,1―5,600,―,―,0,0
20260125,0007,02,京都,日,11,3連複フォーメーション,02／09；10／01；02；05；06；07；08；09；10；12；13；14；15,100／1900,―,―,0,0
20260125,0008,01,中山,日,11,3連複フォーメーション,14／03；04；05；09；12；15／01；02；03；04；05；08；09；11；12；14；15,100／3900,―,―,0,0
20260125,0008,02,中山,日,11,3連単フォーメーション,14／05；09；14；15／01；03；04；05；09；12；14；15,100／1800,―,―,0,0
20260125,0008,03,中山,日,11,3連単フォーメーション,05；09；15／14／01；03；04；05；09；12；15,100／1800,―,―,0,0
20260125,0009,01,中山,日,11,枠連,2―7,200,―,―,0,0
20260125,0009,02,中山,日,11,枠連,3―7,200,―,―,0,0
20260125,0009,03,中山,日,11,枠連,5―7,200,的中5―7,640,1280,0
20260125,0009,04,中山,日,11,枠連,6―7,200,―,―,0,0
20260125,0009,05,中山,日,11,枠連,7―8,200,―,―,0,0
,,合計,,,,,,11000,,,1280,0
