日付,受付番号,通番,場名,曜日,レース,式別,馬／組番,購入金額,的中／返還,払戻単価,払戻金額,返還金額
20260118,0002,01,中山,日,7,複勝,12,1100,―,―,0,0
20260118,0003,01,中山,日,7,3連単フォーメーション,01；03；04／12／01；02；03；04；05；07；12,100／1500,―,―,0,0
20260118,0004,01,京都,日,8,3連複フォーメーション,08／03；06／01；02；03；06；07；08；09；10；11；12,100／1500,的中06―07―08,1290,1290,0
20260118,0005,01,中山,日,8,馬連,11―14,700,―,―,0,0
20260118,0005,02,中山,日,8,ワイド,11―14,700,―,―,0,0
20260118,0006,01,京都,日,9,枠連フォーメーション,1／1；2；4；5；7；8,100／600,―,―,0,0
20260118,0006,02,京都,日,9,馬連,01―08,100,―,―,0,0
20260118,0007,01,京都,日,11,3連複フォーメーション,12／06；08；11／02；04；05；06；07；08；09；10；11；12；13,100／2400,―,―,0,0
20260118,0007,02,京都,日,11,3連単軸1頭ながしマルチ,12／06；08；11,100／1800,―,―,0,0
20260118,0008,01,中山,日,11,3連複フォーメーション,15／04；12／01；02；03；04；05；06；07；08；09；10；11；12；13；14；15,100／2500,―,―,0,0
20260118,0008,02,中山,日,11,3連単1着ながし,15／04；11；12；13,100／1200,―,―,0,0
20260118,0008,03,中山,日,11,3連単2着ながし,15／04；11；12；13,100／1200,―,―,0,0
20260118,0009,01,中山,日,11,ワイド,12―15,1000,―,―,0,0
,,合計,,,,,,16300,,,1290,0
