日付,受付番号,通番,場名,曜日,レース,式別,馬／組番,購入金額,的中／返還,払戻単価,払戻金額,返還金額
20260207,0001,01,京都,土,2,複勝,06,1000,―,―,0,0
20260207,0002,01,京都,土,3,複勝,01,1000,的中01,120,1200,0
20260207,0003,01,東京,土,8,複勝,08,1000,返還08,―,0,1000
20260207,0004,01,京都,土,9,複勝,03,1000,―,―,0,0
20260207,0005,01,京都,土,10,馬連,02―04,200,―,―,0,0
20260207,0005,02,京都,土,10,ワイド,02―04,1000,―,―,0,0
20260207,0006,01,京都,土,11,ワイドフォーメーション,02／03；13,500／1000,―,―,0,0
20260207,0007,01,小倉,土,12,複勝,12,1000,―,―,0,0
20260207,0008,01,京都,土,12,馬連フォーメーション,14／03；07；13,100／300,―,―,0,0
,,合計,,,,,,7500,,,1200,1000
