日付,受付番号,通番,場名,曜日,レース,式別,馬／組番,購入金額,的中／返還,払戻単価,払戻金額,返還金額
20260315.0,1.0,01,中山,日,4.0,ワイドＢＯＸ,02；03；06,500／1500,―,―,0,0
20260315.0,2.0,01,中山,日,8.0,ワイドフォーメーション,08／01；07,500／1000,的中01―08／的中07―08,150／130,1400,0
20260315.0,3.0,01,中山,日,10.0,単勝,11,1000,―,―,0,0
20260315.0,3.0,02,中山,日,10.0,ワイドフォーメーション,11／05；13,500／1000,―,―,0,0
20260315.0,4.0,01,中京,日,11.0,ワイドフォーメーション,02／01；04,500／1000,―,―,0,0
20260315.0,4.0,02,中京,日,11.0,馬単,02→01,100,―,―,0,0
20260315.0,4.0,03,中京,日,11.0,3連複フォーメーション,02／01；04／01；02；03；04；10；11；12,100／900,―,―,0,0
20260315.0,5.0,01,中山,日,11.0,単勝,15,1000,的中15,1940,19400,0
20260315.0,5.0,02,中山,日,11.0,馬連フォーメーション,15／02；12,500／1000,的中02―15,4410,22050,0
20260315.0,5.0,03,中山,日,11.0,ワイド,02―15,1000,的中02―15,1220,12200,0
20260315.0,6.0,01,中山,日,11.0,3連複フォーメーション,02；15／02；10；15／02；03；04；10；11；12；13；15；16,100／1900,―,―,0,0
20260315.0,7.0,01,阪神,日,12.0,複勝,08,1000,的中08,140,1400,0
20260315.0,8.0,01,中山,日,12.0,ワイドフォーメーション,03／07；15,500／1000,―,―,0,0
,,合計,,,,,,13400,,,56450,0
20260315.0,1.0,01,中山,日,3.0,複勝,13,1000,―,―,0,0
20260315.0,1.0,01,阪神,日,3.0,ワイド,12-14,1000,―,―,0,0
20260315.0,1.0,01,中京,日,3.0,ワイド,04-12,1000,―,―,0,0
