日付,受付番号,通番,場名,曜日,レース,式別,馬／組番,購入金額,的中／返還,払戻単価,払戻金額,返還金額
20260104,0001,01,京都,日,1,複勝,09,1000,的中09,110,1100,0
20260104,0002,01,中山,日,1,複勝,14,1100,的中14,110,1210,0
20260104,0003,01,京都,日,2,複勝,04,1200,的中04,110,1320,0
20260104,0004,01,中山,日,2,複勝,04,1300,的中04,100,1300,0
20260104,0005,01,京都,日,5,複勝,02,1300,的中02,150,1950,0
20260104,0006,01,京都,日,7,複勝,09,1900,―,―,0,0
20260104,0007,01,京都,日,8,複勝,01,1000,的中01,130,1300,0
20260104,0008,01,京都,日,9,複勝,09,1300,的中09,110,1430,0
20260104,0009,01,京都,日,10,複勝,09,1500,的中09,110,1650,0
20260104,0010,01,京都,日,11,馬連フォーメーション,01／03；11；15,300／900,―,―,0,0
20260104,0011,01,中山,日,11,馬連,02―03,500,―,―,0,0
20260104,0011,02,中山,日,11,3連複フォーメーション,02／03；12／01；02；03；05；07；08；12；13,100／1100,―,―,0,0
,,合計,,,,,,14100,,,11260,0
