日付,受付番号,通番,場名,曜日,レース,式別,馬／組番,購入金額,的中／返還,払戻単価,払戻金額,返還金額
20260228.0,1.0,1,中山,土,1.0,単勝,14,400,的中14,650,2600,0
20260228.0,1.0,2,中山,土,1.0,複勝,14,800,的中14,190,1520,0
20260228.0,1.0,3,中山,土,1.0,馬連ながし,14／16,200／200,―,―,0,0
20260228.0,1.0,4,中山,土,1.0,ワイドながし,14／11；12；15,200／600,―,―,0,0
20260228.0,2.0,1,中山,土,2.0,単勝,15,400,―,―,0,0
20260228.0,2.0,2,中山,土,2.0,複勝,15,800,的中15,140,1120,0
20260228.0,2.0,3,中山,土,2.0,馬連,13―15,100,―,―,0,0
20260228.0,2.0,4,中山,土,2.0,馬連,09―15,300,的中09―15,430,1290,0
20260228.0,2.0,5,中山,土,2.0,ワイドフォーメーション,15／13；14,200／400,的中13―15,660,1320,0
20260228.0,1.0,1,中山,土,3.0,単勝,07,200,―,―,0,0
20260228.0,1.0,2,中山,土,3.0,複勝,07,800,―,―,0,0
20260228.0,1.0,3,中山,土,3.0,ワイド,03-07,100,―,―,0,0
20260228.0,1.0,3,中山,土,3.0,ワイド,07-13,300,―,―,0,0
20260228.0,1.0,3,中山,土,3.0,ワイド,07-16,200,―,―,0,0
20260228.0,2.0,1,中山,土,4.0,単勝,11,400,―,―,0,0
20260228.0,2.0,2,中山,土,4.0,複勝,11,800,―,―,0,0
20260228.0,2.0,3,中山,土,4.0,ワイド,02-11,200,―,―,0,0
20260228.0,2.0,3,中山,土,4.0,ワイド,05-11,500,―,―,0,0
20260228.0,3.0,1,中山,土,5.0,単勝,07,500,―,―,0,0
20260228.0,3.0,2,中山,土,5.0,複勝,07,500,―,―,0,0
20260228.0,3.0,3,中山,土,5.0,ワイド,02-17,300,―,―,0,0
20260228.0,3.0,3,中山,土,5.0,ワイド,07-17,400,―,―,0,0
20260228.0,4.0,1,中山,土,6.0,単勝,05,300,―,―,0,0
20260228.0,4.0,2,中山,土,6.0,複勝,05,600,的中05,170,1020,0
20260228.0,4.0,3,中山,土,6.0,ワイド,04-05,200,―,―,0,0
20260228.0,4.0,3,中山,土,6.0,ワイド,05-08,500,的中05-08,680,1700,0
20260228.0,4.0,3,中山,土,6.0,ワイド,04-08,200,―,―,0,0
20260228.0,5.0,3,中山,土,7.0,ワイド,09-15,400,―,―,0,0
20260228.0,5.0,3,中山,土,7.0,ワイド,13-15,1000,的中13-15,1150,2300,0
20260228.0,5.0,3,中山,土,7.0,ワイド,14-15,300,―,―,0,0
20260228.0,5.0,3,中山,土,7.0,ワイド,08-15,200,―,―,0,0
20260228.0,6.0,1,中山,土,8.0,単勝,07,400,―,―,0,0
20260228.0,6.0,2,中山,土,8.0,複勝,07,700,的中07,190,1330,0
20260228.0,6.0,3,中山,土,8.0,ワイド,01-07,500,的中01-07,370,0,0
20260228.0,6.0,3,中山,土,8.0,馬連フォーメーション,07／01；12,400,―,―,1660,0
20260228.0,7.0,3,中山,土,9.0,ワイド,04-06,300,―,―,0,0
20260228.0,7.0,3,中山,土,9.0,ワイド,04-08,1000,―,―,0,0
20260228.0,8.0,1,中山,土,10.0,単勝,16,400,―,―,0,0
20260228.0,8.0,2,中山,土,10.0,複勝,16,600,的中16,330,1980,0
20260228.0,8.0,3,中山,土,10.0,ワイド,06-16,500,―,―,0,0
20260228.0,8.0,3,中山,土,10.0,ワイド,09-16,500,―,―,0,0
20260228.0,9.0,1,中山,土,11.0,単勝,02,300,―,―,0,0
20260228.0,9.0,2,中山,土,11.0,複勝,02,1000,―,―,0,0
20260228.0,9.0,3,中山,土,11.0,３連複フォーメーション,"02,11,14／02,11,14／01,02,03,05,09,10,11,14",100／2100,―,―,0,0
20260228.0,9.0,4,中山,土,11.0,ワイドＢＯＸ,02；08；11,300／900,―,―,0,0
20260228.0,10.0,1,中山,土,12.0,単勝,01,400,―,―,0,0
20260228.0,10.0,2,中山,土,12.0,複勝,01,600,―,―,0,0
20260228.0,10.0,3,中山,土,12.0,ワイド,01-10,500,―,―,0,0
20260228.0,10.0,3,中山,土,12.0,ワイド,01-13,500,―,―,0,0
20260228.0,10.0,4,中山,土,12.0,３連複フォーメーション,"01／07,13／03,07,09,10,12,13",100／1000,―,―,0,0
20260228.0,1.0,3,中山,土,3.0,ワイド,07-08,400,―,―,0,0
20260228.0,2.0,3,中山,土,4.0,ワイド,02-05,100,―,―,0,0
20260228.0,3.0,3,中山,土,5.0,ワイド,02-07,300,―,―,0,0
20260228.0,7.0,3,中山,土,9.0,馬連,04-08,400,―,―,0,0
20260228.0,7.0,3,中山,土,9.0,ワイド,06-08,300,―,―,0,0
20260228.0,4.0,1,中山,土,6.0,単勝,04,200,―,―,0,0
20260228.0,5.0,3,中山,土,7.0,馬連,09-15,100,―,―,0,0
