日付,受付番号,通番,場名,曜日,レース,式別,馬／組番,購入金額,的中／返還,払戻単価,払戻金額,返還金額
20260221,0001,01,東京,土,2,複勝,01,1000,的中01,150,1500,0
20260221,0002,01,東京,土,3,複勝,01,1000,―,―,0,0
20260221,0003,01,小倉,土,8,ワイドフォーメーション,11／04；13,500／1000,―,―,0,0
20260221,0004,01,阪神,土,8,馬連,01―02,700,―,―,0,0
20260221,0004,02,阪神,土,8,馬連,02―06,300,―,―,0,0
20260221,0004,03,阪神,土,8,ワイド,01―02,500,―,―,0,0
20260221,0005,01,東京,土,8,馬単フォーメーション,10／01；04；08,400／1200,―,―,0,0
20260221,0005,02,東京,土,8,3連単フォーメーション,10／01；08／01；04；08,200／800,―,―,0,0
20260221,0006,01,阪神,土,9,馬連フォーメーション,13／03；06；17,400／1200,―,―,0,0
20260221,0006,02,阪神,土,9,ワイドフォーメーション,13／03；06；17,300／900,―,―,0,0
20260221,0007,01,東京,土,9,3連単フォーメーション,06／01；03；04／01；03；04,100／600,―,―,0,0
20260221,0008,01,阪神,土,10,馬連フォーメーション,15／01；06；08；14；15,300／1200,的中08―15,2710,8130,0
20260221,0008,02,阪神,土,10,ワイドフォーメーション,15／01；06；08；14；15,200／800,的中08―15,1140,2280,0
20260221,0009,01,東京,土,10,ワイド,10―16,400,―,―,0,0
20260221,0009,02,東京,土,10,ワイドフォーメーション,10；16／04；06；13；14,200／1600,―,―,0,0
20260221,0010,01,小倉,土,11,ワイド,09―11,200,―,―,0,0
20260221,0010,02,小倉,土,11,ワイドフォーメーション,05；11／01；09；12；13,200／1600,―,―,0,0
20260221,0011,01,阪神,土,11,単勝,02,200,―,―,0,0
20260221,0011,02,阪神,土,11,ワイドながし,02／01；05；08；09；13；18,300／1800,―,―,0,0
20260221,0012,01,東京,土,11,馬連,12―13,400,―,―,0,0
20260221,0012,02,東京,土,11,ワイドフォーメーション,12；13／01；04；09；10；14,200／2000,的中01―13,1610,3220,0
20260221,0013,01,小倉,土,12,馬連,09―10,200,―,―,0,0
20260221,0013,02,小倉,土,12,ワイド,09―10,200,―,―,0,0
20260221,0013,03,小倉,土,12,ワイドフォーメーション,09；10／02；05；06；15；18,200／2000,的中09―15,2090,4180,0
20260221,0014,01,阪神,土,12,ワイド,10―12,500,―,―,0,0
20260221,0014,02,阪神,土,12,ワイド,11―13,300,的中11―13,2520,7560,0
20260221,0014,03,阪神,土,12,ワイドフォーメーション,10；13／01；02；03；05；11；15,100／1200,的中11―13,2520,2520,0
20260221,0015,01,東京,土,12,単勝,10,200,―,―,0,0
20260221,0015,02,東京,土,12,ワイドフォーメーション,10／01；02；03；05；11；15,300／1800,―,―,0,0
,,合計,,,,,,25800,,,29390,0
