日付,受付番号,通番,場名,曜日,レース,式別,馬／組番,購入金額,的中／返還,払戻単価,払戻金額,返還金額
20260111.0,10.0,01,中山,日,6.0,複勝,13.0,1000,的中13,110,1100,0
20260111.0,11.0,01,京都,日,7.0,複勝,10.0,1100,的中10,180,1980,0
20260111.0,12.0,01,京都,日,8.0,複勝,15.0,1000,的中15,120,1200,0
20260111.0,13.0,01,京都,日,9.0,複勝,2.0,1300,―,―,0,0
,,合計,,,,,,4400,,,4280,0
20260111.0,1.0,1.0,中山,日,8.0,3連単,07→01→02,"1,800",的中,"3,950","3,950",0
20260111.0,2.0,1.0,京都,日,9.0,馬連,46063 ,400,-,-,0,0
20260111.0,2.0,2.0,京都,日,9.0,馬連,46057 ,"1,000",-,-,0,0
20260111.0,2.0,3.0,京都,日,9.0,馬連,46059 ,300,-,-,0,0
20260111.0,2.0,4.0,京都,日,9.0,馬連,46060 ,300,-,-,0,0
20260111.0,2.0,5.0,京都,日,9.0,馬連,46062 ,500,-,-,0,0
20260111.0,3.0,1.0,中山,日,9.0,3連単,"05,07→02,05,07,08,10→05,07,10","1,200",-,-,0,0
20260111.0,3.0,2.0,中山,日,9.0,3連単,"05,07→05,07,10→02,05,07,08,10","1,200",-,-,0,0
20260111.0,4.0,1.0,京都,日,10.0,馬連,"03－(02,04,08)",600,-,-,0,0
20260111.0,4.0,2.0,京都,日,10.0,3連複,"03－(04,08)－(01...14)","1,700",-,-,0,0
20260111.0,5.0,1.0,中山,日,10.0,3連複,"13－(08,10,14)－(03...14)","1,800",-,-,0,0
20260111.0,5.0,2.0,中山,日,10.0,3連単,"13→(08,10,13,14)→(06,08,10,13,14)",900,-,-,0,0
20260111.0,5.0,3.0,中山,日,10.0,3連単,"(08,10,14)→13→(06,08,10,14)",900,-,-,0,0
20260111.0,6.0,1.0,京都,日,11.0,枠連,46084 ,500,-,-,0,0
20260111.0,6.0,2.0,京都,日,11.0,枠連,46087 ,"1,400",的中,300,"4,200",0
20260111.0,6.0,3.0,京都,日,11.0,枠連,46179 ,500,-,-,0,0
20260111.0,6.0,4.0,京都,日,11.0,3連単,"05→(05,06,11,12)→(05,06,11,12)",600,-,-,0,0
20260111.0,7.0,1.0,中山,日,11.0,単勝,15 ,"1,000",的中,"1,100","11,000",0
20260111.0,7.0,2.0,中山,日,11.0,枠連,46061 ,"1,200",的中,"3,320","6,640",0
20260111.0,8.0,1.0,中山,日,11.0,3連複,"15－(02,03,09,12)－(01...16)","2,600",-,-,0,0
20260111.0,9.0,1.0,京都,日,12.0,ワイド,46246 ,"1,000",的中,560,"5,600",0
20260111.0,9.0,2.0,京都,日,12.0,3連複,39796 ,"2,100",的中,"2,730","2,730",0
20260111.0,10.0,1.0,中山,日,12.0,ワイド,46156 ,"1,000",-,-,0,0
20260111.0,10.0,2.0,中山,日,12.0,3連複,"14－(02,05,11)－(01...16)","2,400",-,-,0,0
