日付,受付番号,通番,場名,曜日,レース,式別,馬／組番,購入金額,的中／返還,払戻単価,払戻金額,返還金額
20260131,0001,01,東京,土,10,単勝,02,500,的中02,440,2200,0
20260131,0001,02,東京,土,10,複勝,02,1000,的中02,180,1800,0
20260131,0002,01,小倉,土,11,複勝,08,1000,―,―,0,0
20260131,0003,01,京都,土,11,3連複フォーメーション,13／05；09／02；05；06；07；09；10；11；12；13,100／1300,的中02―09―13,2250,2250,0
20260131,0004,01,東京,土,11,ワイドフォーメーション,06／01；08,400／800,的中01―06,320,1280,0
20260131,0004,02,東京,土,11,3連複フォーメーション,06／01；02；04；06；08／01；02；04；06；08,100／600,的中01―04―06,1080,1080,0
20260131,0004,03,東京,土,11,3連単フォーメーション,06／01；02；04；08／01；02；03；04；05；06；07；08；09；10,100／3200,―,―,0,0
20260131,0005,01,小倉,土,12,3連複フォーメーション,14／03；09；10／01；02；03；04；05；06；09；10；14；15；16,100／2400,―,―,0,0
,,合計,,,,,,10800,,,8610,0
