日付,受付番号,通番,場名,曜日,レース,式別,馬／組番,購入金額,的中／返還,払戻単価,払戻金額,返還金額
20260110,0001,01,京都,土,2,複勝,12,1000,的中12,120,1200,0
20260110,0002,01,中山,土,2,複勝,02,1200,的中02,110,1320,0
20260110,0003,01,中山,土,3,複勝,03,1300,的中03,110,1430,0
20260110,0004,01,京都,土,5,複勝,09,1400,―,―,0,0
20260110,0004,02,京都,土,5,馬連,01―09,500,―,―,0,0
20260110,0004,03,京都,土,5,ワイド,01―09,500,―,―,0,0
20260110,0005,01,京都,土,10,複勝,05,1000,―,―,0,0
20260110,0006,01,中山,土,10,複勝,12,1000,的中12,150,1500,0
20260110,0007,01,京都,土,11,複勝,08,1500,的中08,110,1650,0
20260110,0008,01,中山,土,11,複勝,09,1600,―,―,0,0
20260110,0009,01,中山,土,12,複勝,03,1000,―,―,0,0
,,合計,,,,,,12000,,,7100,0
