日付,受付番号,通番,場名,曜日,レース,式別,馬／組番,購入金額,的中／返還,払戻単価,払戻金額,返還金額
20260328,0001,01,中山,土,1,単勝,09,200,的中09,410,820,0
20260328,0001,02,中山,土,1,複勝,09,300,的中09,120,360,0
20260328,0002,01,中京,土,2,単勝,06,200,―,―,0,0
20260328,0002,02,中京,土,2,複勝,06,300,―,―,0,0
20260328,0003,01,中山,土,2,単勝,07,1000,―,―,0,0
20260328,0004,01,中京,土,3,単勝,07,200,―,―,0,0
20260328,0004,02,中京,土,3,複勝,07,300,―,―,0,0
20260328,0005,01,阪神,土,3,単勝,02,2000,的中02,470,9400,0
20260328,0006,01,中京,土,4,単勝,09,200,的中09,590,1180,0
20260328,0006,02,中京,土,4,複勝,09,300,的中09,160,480,0
20260328,0007,01,阪神,土,4,単勝,08,200,―,―,0,0
20260328,0007,02,阪神,土,4,複勝,08,300,―,―,0,0
20260328,0008,01,中山,土,4,単勝,09,200,―,―,0,0
20260328,0008,02,中山,土,4,複勝,09,300,的中09,170,510,0
20260328,0009,01,中山,土,5,単勝,10,300,的中10,300,900,0
20260328,0010,01,中京,土,6,単勝,05,300,―,―,0,0
20260328,0011,01,中京,土,7,単勝,08,300,―,―,0,0
20260328,0011,02,中京,土,7,複勝,08,300,―,―,0,0
20260328,0012,01,阪神,土,7,単勝,07,300,―,―,0,0
20260328,0013,01,中京,土,8,単勝,10,1000,―,―,0,0
20260328,0013,02,中京,土,8,ワイド,08―10,1000,―,―,0,0
20260328,0014,01,中山,土,11,3連複フォーメーション,01／05；10；15／01；02；05；06；07；10；11；14；15,100／1800,的中01―14―15,3560,3560,0
20260328,0015,01,阪神,土,11,単勝,06,1000,―,―,0,0
20260328,0016,01,阪神,土,10,単勝,11,300,的中11,340,1020,0
,,合計,,,,,,12600,,,18230,0
