日付,受付番号,通番,場名,曜日,レース,式別,馬／組番,購入金額,的中／返還,払戻単価,払戻金額,返還金額
20260215,0001,01,Ｋアブドゥルアジーズ（サウジアラビア）,日,9,複勝,11,1000,―,―,0,0
20260215,0002,01,東京,日,6,単勝,04,1000,―,―,0,0
20260215,0003,01,東京,日,9,複勝,14,1000,―,―,0,0
20260215,0004,01,東京,日,10,3連複フォーメーション,09／01；02；03；04；06；09；11；14／01；02；03；04；06；09；11；14,100／2100,―,―,0,0
20260215,0005,01,京都,日,11,3連単フォーメーション,01；06／01；02；04；06；08；12／01；06,100／800,―,―,0,0
20260215,0006,01,京都,日,11,3連単フォーメーション,01；06／01；06／01；02；04；06；08；12,100／800,―,―,0,0
20260215,0007,01,東京,日,11,3連複フォーメーション,05／01；04；05；06；07；08／01；04；05；06；07；08,100／1000,的中05―06―07,1450,1450,0
20260215,0007,02,東京,日,11,3連単フォーメーション,01；04；06／05／01；04；05；06；07；08,100／1200,―,―,0,0
20260215,0007,03,東京,日,11,3連単フォーメーション,05／01；04；05；06；07；08／01；04；05；06；07；08,100／2000,的中05→07→06,6950,6950,0
,,合計,,,,,,10900,,,8400,0
