No.,日付,日付S,場 R,場所,日次,Ｒ,レース名,発走時刻,クラス,年限定,芝ダ,距離,距離,外回り,コース区分,コースマーク,コースグループ数,コースグループ名1,頭,頭数,フルゲート頭数,R印1,レース印2,レース印3,枠番,馬番,B,馬印1,馬印2,馬印3,馬印4,馬名,馬名S,Ｃ,性,齢,性別,年齢,騎手,斤量,馬齢斤量差,斤量体重比,所属,調教師,所属,降級戦,投票,マイニング値,マイニング順位,ﾏｲ差,対戦型マイニング値,対戦型マイニング順位,Tﾏ差,指数1,指数順位1,指差1,指数2,指数順位2,指差2,指数3,指数順位3,指差3,指数4,指数順位4,指差4,取消しフラグ,人気,単オッズ,単ｼｪｱ,複勝人気,複勝オッズ下,上,複ｼｪｱ,単複S比,指時系1・単勝,指時系1・人気,指時系2・単勝,指時系2・人気,指時系3・単勝,指時系3・人気,指時系4・単勝,指時系4・人気,指時系1・複勝下,複上1,複人1,指時系2・複勝下,複上2,複人2,指時系3・複勝下,複上3,複人3,指時系4・複勝下,複上4,複人4,着,単勝,複勝,枠連配当,馬連配当,馬単配当,３連複配当,３連単配当,馬体重,増減,本賞金,収得賞金,キャリア(当時/取消等含),キャリア(最新),全1,全2,全3,全外,平1,平2,平3,平外,芝1,芝2,芝3,芝外,ダ1,ダ2,ダ3,ダ外,障1,障2,障3,障外,他1,他2,他3,他外,チェック騎手タイプ,チェック調教師タイプ,調教師多頭出し数,馬主多頭出し数,馬記号,馬主,馬主タイプ,生産者,生産者タイプ,産地,種牡馬,父タイプ名,母名,母父名,母父タイプ名,父母父名,父母父タイプ名,母母父名,母母父タイプ名,毛色,生年,誕生日,騎手誕生日(歳),調教師誕生日(歳),兄弟(収得1位),勝数,兄弟(収得2位),勝数,兄弟(収得3位),勝数,兄弟(収得4位),勝数,兄弟(収得5位),勝数,馬名の意味由来,チェック日,チェック馬コメント,チェック馬コメント,馬コメント,馬コメント,予想コメント,予想コメント,結果コメント,結果コメント,KOL関係者コメント,KOL関係者コメント,KOL次走へのメモ,KOL次走へのメモ,レースコメント,レースコメント,騎手コメント,騎手コメント,調教師コメント,調教師コメント,ワーク1,ワーク1S,ワーク2,ワーク2S,ワーク3,ワーク3S,ワーク4,ワーク4S,間隔,休明戦目,前番,前人気,前着順,前着差,前確定着順,前入線順位,前異常コード,前走騎手,乗替,前斤量,斤量差,前馬体重,前馬体重増減,前走開催,前場所,同場,前レース印,前レース印2,前レース印3,前馬印1,前印2,前印3,前印4,前印5,前印6,前印7,前印8,前芝ダ,前距離,距離差,前芝ダ,今芝ダ,前走コースマーク,前走コースグループ数,前走コースグループ名1,前馬場状態,前ｸﾗｽ,前頭数,頭差,前通過1,前通過2,前通過3,前通過4,前脚質,前走決め手,前3F順,前走予想コメント,前走予想コメント,前走結果コメント,前走結果コメント,前走KOLコメント,前走KOLコメント,前走KOL次走メモ,前走KOL次走メモ,前レースコメント,前走レースコメント,レースID(旧),レースID(新),血統登録番号,トラックC,トラックコード(JV),クラスC,グレード,競走種別C,重量C,競走記号コード,性別コード,馬記号コード,見習いコード,調教師所属コード,騎手コード,調教師コード,馬主コード,前レースID(新),前レースID(旧)
1,0315,2026.3.15,中1,中山,6,1,未勝利・牝,10:05,未勝利,３歳,ダ,1200,1200,,,,,,16,16,16,,,,1,1,,,,,, グラデュエール,グラデュエール,,牝,3,牝,3,小林脩斗, 55 ,0.0,13.0,(美),粕谷昌央,美浦,,1,,,,,,,,,,,,,,,,,,,,15,340.4,0.2,15,37.3,113.6,0.2,92.8,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,10,,,,,,,,422,+ 4,0,0,2,3,0,0,0,3,0,0,0,3,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,Mr.ホース,,北海道静内農業高等学校,,新ひだか町,ミスチヴィアスアレックス,ニアークティック系,マドリガルスコア,ダンスインザダーク,ロイヤルチャージャー系,Speightstown,ネイティヴダンサー系,ラストタイクーン,ニアークティック系,鹿毛,2023,0517,"2001年11月 8日(24歳)","1965年 9月 4日(60歳)",ユイノシンドバッド,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,15,13,９着, 1.6,9,9,0,木幡初也,替, 55 ,0.0,418,0,"260117 1中6  1R",中山,同場,,,,,,,,,,,,ダ,1200,0,ダ,ダ,,,,良,未勝利,16,0,,, 9,10,中,中団,9,,,,,,,,,,,0626260101,202603150602060101,2023103225,1,24,7, ,12,3,023,2,00,0,1,01183,01096,528033,202601170601060115,0626160115
2,0315,2026.3.15,中1,中山,6,1,未勝利・牝,10:05,未勝利,３歳,ダ,1200,1200,,,,,,16,16,16,,,,1,2,,,,,, サマースプラッシュ,サマースプラッシュ,,牝,3,牝,3,原優介, 55 ,0.0,11.4,(美),岩戸孝樹,美浦,,1,,,,,,,,,,,,,,,,,,,,13,228.2,0.4,13,20.5,62.2,0.4,114.3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,15,,,,,,,,484,- 8,0,0,1,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,田頭勇貴,,スカイビーチステーブル,,新冠町,アポロケンタッキー,ニアークティック系,アポロユッキー,アポロキングダム,ネイティヴダンサー系,"Gone West",ネイティヴダンサー系,ワレンダー,ネイティヴダンサー系,栗毛,2023,0419,"2000年 6月10日(25歳)","1966年 7月23日(59歳)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,1,14,11,12着, 2.6,12,12,0,原優介,, 55 ,0.0,492,0,"251221 5中6  6R",中山,同場,,,,,,,,,,,,ダ,1200,0,ダ,ダ,,,,重,新馬,16,0,,,13,13,後,後方,12,,,,,,,,,,,0626260102,202603150602060102,2023106163,1,24,7, ,12,3,023,2,00,0,1,01184,01051,855030,202512210605060614,0625560614
3,0315,2026.3.15,中1,中山,6,1,未勝利・牝,10:05,未勝利,３歳,ダ,1200,1200,,,,,,16,16,16,,,,2,3,,,,,, ツキノマバタキ,ツキノマバタキ,,牝,3,牝,3,木幡巧也, 55 ,0.0,12.3,(美),牧光二,美浦,,1,,,,,,,,,,,,,,,,,,,,9,49.5,1.6,7,4.8,13.7,1.9,116.6,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,９,,,,,,,,448,+10,56,0,4,5,0,0,0,5,0,0,0,5,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,日下部勝徳,,社台ファーム,,千歳市,エイシンフラッシュ,ネイティヴダンサー系,ムーンビード,"American Pharoah",ネイティヴダンサー系,Platini,その他のエクリプス系,"Northern Afleet",ネイティヴダンサー系,鹿毛,2023,0308,"1996年 5月 9日(29歳)","1973年 2月10日(53歳)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,5,7,10着, 1.4,10,10,0,石橋脩,替, 55 ,0.0,438,+2,"251130 5東8  2R",東京,別場,,,,,,,,,,,,芝,1600,-400,芝,ダ,,,,良,未勝利,13,3,,,12,13,後,後方,3,,,,,,,,,,,0626260103,202603150602060103,2023103569,1,24,7, ,12,3,023,2,00,0,1,01162,01106,641030,202511300505080205,0525580205
4,0315,2026.3.15,中1,中山,6,1,未勝利・牝,10:05,未勝利,３歳,ダ,1200,1200,,,,,,16,16,16,,,,2,4,,,,,, コパノキャメロン,コパノキャメロン,,牝,3,牝,3,武藤雅, 55 ,0.0,11.2,(美),手塚貴久,美浦,,1,,,,,,,,,,,,,,,,,,,,3,9.7,8.2,3,1.4,3.4,8.8,107.1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,３,,140,,,,480,1570,490,- 4,323,0,3,4,0,0,1,3,0,0,1,3,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,,,,小林祥晃,,ヤナガワ牧場,,日高町,シャンハイボビー,ニアークティック系,コパノジョウオー,ゴールドアリュール,ロイヤルチャージャー系,Orientate,ナスルーラ系,ティンバーカントリー,ネイティヴダンサー系,鹿毛,2023,0320,"1998年 1月10日(28歳)","1964年 9月20日(61歳)",,,,,,,,,,,冠名＋人名より,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,6,6,４着, 0.7,4,4,0,武藤雅,, 55 ,0.0,494,+12,"260221 1東7  1R",東京,別場,,,,,,,,,,,,ダ,1400,-200,ダ,ダ,,,,良,未勝利,16,0,,, 3, 3,先,先行,13,,,,,,,,,,,0626260104,202603150602060104,2023101570,1,24,7, ,12,3,023,2,00,0,1,01169,01038,966007,202602210501070106,0526170106
5,0315,2026.3.15,中1,中山,6,1,未勝利・牝,10:05,未勝利,３歳,ダ,1200,1200,,,,,,16,16,16,,,,3,5,,,,,, ラングロワブリッジ,ラングロワブリッジ,,牝,3,牝,3,岩田康誠, 55 ,0.0,11.2,(美),戸田博文,美浦,,1,,,,,,,,,,,,,,,,,,,,8,45.0,1.8,9,7.0,20.5,1.2,69.8,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,13,,,,,,,,490,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,キャロットファーム,,ノーザンファーム,,安平町,ヴァンゴッホ,ネイティヴダンサー系,ローガンサファイア,ダイワメジャー,ロイヤルチャージャー系,"Sadler's Wells",ニアークティック系,"Out of Place",ロイヤルチャージャー系,鹿毛,2023,0320,"1974年 3月12日(52歳)","1963年10月 1日(62歳)",ゴールドシーン,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,初走,,,,,,,,,,,,,---,,初,,前無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0626260105,202603150602060105,2023107365,1,24,7, ,12,3,023,2,00,0,1,05203,01054,486800,,
6,0315,2026.3.15,中1,中山,6,1,未勝利・牝,10:05,未勝利,３歳,ダ,1200,1200,,,,,,16,16,16,,,,3,6,,,,,, マイチバイ,マイチバイ,,牝,3,牝,3,大野拓弥, 55 ,0.0,12.8,(美),堀内岳志,美浦,,1,,,,,,,,,,,,,,,,,,,,12,127.7,0.6,10,8.1,24.0,1.1,168.4,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,８,,,,,,,,430,- 2,0,0,3,4,0,0,0,4,0,0,0,4,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,柴原榮,,マリオステーブル,,新冠町,シルバーステート,ロイヤルチャージャー系,ブルーボサノヴァ,パイロ,ナスルーラ系,"Silver Hawk",ロイヤルチャージャー系,ティンバーカントリー,ネイティヴダンサー系,青毛,2023,0403,"1986年 9月 8日(39歳)","1973年10月 5日(52歳)",ミニョンルミエール,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,1,12,4,９着, 2.2,9,9,0,松岡正海,替, 55 ,0.0,432,+2,"251221 5中6  1R",中山,同場,,,,,,,,,,,,ダ,1200,0,ダ,ダ,,,,不良,未勝利,16,0,,,12,12,後,後方,6,,,,,,,,,,,0626260106,202603150602060106,2023104588,1,24,7, ,12,3,023,2,00,0,1,01096,01189,238009,202512210605060112,0625560112
7,0315,2026.3.15,中1,中山,6,1,未勝利・牝,10:05,未勝利,３歳,ダ,1200,1200,,,,,,16,16,16,,,,4,7,,,,,, カンレイスター,カンレイスター,,牝,3,牝,3,坂井瑠星, 55 ,0.0,12.4,(美),矢野英一,美浦,,1,,,,,,,,,,,,,,,,,,,,2,2.3,33.8,1,1.1,1.1,50.5,149.5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,２,,110,190,210,410,480,1570,442,- 2,784,0,6,7,0,3,0,4,0,3,0,4,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,那須野牧場,,那須野,,新冠町,シスキン,ネイティヴダンサー系,ナスノカツラ,ヴィクトワールピサ,ロイヤルチャージャー系,"Oasis Dream",ニアークティック系,ホワイトマズル,ニアークティック系,黒鹿,2023,0307,"1997年 5月31日(28歳)","1970年 2月24日(56歳)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,4,8,2,２着, 0.6,2,2,0,戸崎圭太,替, 55 ,0.0,444,-4,"260110 1中3  1R",中山,同場,,,,,,,,,,,,ダ,1200,0,ダ,ダ,,,,良,未勝利,16,0,,, 4, 2,先,先行,6,,,,,,,,,,,0626260107,202603150602060107,2023105558,1,24,7, ,12,3,023,2,00,0,1,01163,01108,051800,202601100601030108,0626130108
8,0315,2026.3.15,中1,中山,6,1,未勝利・牝,10:05,未勝利,３歳,ダ,1200,1200,,,,,,16,16,16,,,,4,8,,,,,, ニシノゲッパク,ニシノゲッパク,,牝,3,牝,3,遠藤汰月,52▲,-3.0,11.4,(美),伊藤伸一,美浦,,1,,,,,,,,,,,,,,,,,,,,10,58.1,1.4,11,8.8,26.2,1.0,70.1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,５,,,190,,,,,458,- 2,115,0,4,5,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,,,,西山茂行,,フクオカファーム,,浦河町,セイウンコウセイ,ネイティヴダンサー系,ニシノビアンカ,クロフネ,ニアークティック系,Capote,ナスルーラ系,サンデーサイレンス,ロイヤルチャージャー系,芦毛,2023,0227,"2006年 2月14日(20歳)","1959年 7月17日(66歳)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,1,8,７着, 1.7,7,7,0,松岡正海,替, 55 ,-3.0,460,-12,"260131 1東1  1R",東京,別場,,,,,,,,,,,,ダ,1400,-200,ダ,ダ,,,,良,未勝利,16,0,,, 9, 9,中,中団,8,,,,,,,,,,,0626260108,202603150602060108,2023106259,1,24,7, ,12,3,023,2,00,3,1,01218,01031,897009,202601310501010101,0526110101
9,0315,2026.3.15,中1,中山,6,1,未勝利・牝,10:05,未勝利,３歳,ダ,1200,1200,,,,,,16,16,16,,,,5,9,,,,,, ノクスパーピリオ,ノクスパーピリオ,,牝,3,牝,3,横山琉人, 55 ,0.0,11.5,(美),小笠倫弘,美浦,,1,,,,,,,,,,,,,,,,,,,,11,89.9,0.9,12,10.9,32.6,0.8,86.7,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,16,,,190,,,,,480,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,,,ウエスト.フォレスト.ステイブル,,清水スタッド,,様似町,ファインニードル,ネイティヴダンサー系,トーホウアイランド,Power,ニアークティック系,"Mark of Esteem",ナスルーラ系,Montjeu,ニアークティック系,鹿毛,2023,0327,"2003年 1月 8日(23歳)","1971年 7月19日(54歳)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,初走,,,,,,,,,,,,,---,,初,,前無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0626260109,202603150602060109,2023104806,1,24,7, ,12,3,023,2,00,0,1,01192,01076,368803,,
10,0315,2026.3.15,中1,中山,6,1,未勝利・牝,10:05,未勝利,３歳,ダ,1200,1200,,,,,,16,16,16,,,,5,10,,,,,, ブーケドリス,ブーケドリス,,牝,3,牝,3,横山武史, 55 ,0.0,11.9,(美),宮田敬介,美浦,,1,,,,,,,,,,,,,,,,,,,,1,2.2,35.3,2,1.1,1.9,18.9,53.5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,１,220,110,190,210,410,480,1570,462,+ 4,914,400,3,4,1,1,0,2,1,1,0,2,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,,2,,G1レーシング,,社台コーポレーション白老ファーム,,白老町,ロードカナロア,ネイティヴダンサー系,トワイライトライフ,ゴールドアリュール,ロイヤルチャージャー系,"Storm Cat",ニアークティック系,トワイニング,ネイティヴダンサー系,鹿毛,2023,0419,"1998年12月22日(27歳)","1980年10月 8日(45歳)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,2,２着, 0.1,2,2,0,三浦皇成,替, 55 ,0.0,458,+2,"260228 2中1  1R",中山,同場,,,,,,,,,,,,ダ,1200,0,ダ,ダ,,,,重,未勝利,16,0,,, 1, 1,逃,逃げ,7,,,,,,,,,,,0626260110,202603150602060110,2023103802,1,24,7, ,12,3,023,2,00,0,1,01170,01175,808800,202602280602010103,0626210103
