No.,日付,日付S,場 R,場所,日次,Ｒ,レース名,発走時刻,クラス,年限定,芝ダ,距離,距離,外回り,コース区分,コースマーク,コースグループ数,コースグループ名1,頭,頭数,フルゲート頭数,R印1,レース印2,レース印3,枠番,馬番,B,馬印1,馬印2,馬印3,馬印4,馬名,馬名S,Ｃ,性,齢,性別,年齢,騎手,斤量,馬齢斤量差,斤量体重比,所属,調教師,所属,降級戦,投票,マイニング値,マイニング順位,ﾏｲ差,対戦型マイニング値,対戦型マイニング順位,Tﾏ差,指数1,指数順位1,指差1,指数2,指数順位2,指差2,指数3,指数順位3,指差3,指数4,指数順位4,指差4,取消しフラグ,人気,単オッズ,単ｼｪｱ,複勝人気,複勝オッズ下,上,複ｼｪｱ,単複S比,指時系1・単勝,指時系1・人気,指時系2・単勝,指時系2・人気,指時系3・単勝,指時系3・人気,指時系4・単勝,指時系4・人気,指時系1・複勝下,複上1,複人1,指時系2・複勝下,複上2,複人2,指時系3・複勝下,複上3,複人3,指時系4・複勝下,複上4,複人4,着,単勝,複勝,枠連配当,馬連配当,馬単配当,３連複配当,３連単配当,馬体重,増減,本賞金,収得賞金,キャリア(当時/取消等含),キャリア(最新),全1,全2,全3,全外,平1,平2,平3,平外,芝1,芝2,芝3,芝外,ダ1,ダ2,ダ3,ダ外,障1,障2,障3,障外,他1,他2,他3,他外,チェック騎手タイプ,チェック調教師タイプ,調教師多頭出し数,馬主多頭出し数,馬記号,馬主,馬主タイプ,生産者,生産者タイプ,産地,種牡馬,父タイプ名,母名,母父名,母父タイプ名,父母父名,父母父タイプ名,母母父名,母母父タイプ名,毛色,生年,誕生日,騎手誕生日(歳),調教師誕生日(歳),兄弟(収得1位),勝数,兄弟(収得2位),勝数,兄弟(収得3位),勝数,兄弟(収得4位),勝数,兄弟(収得5位),勝数,馬名の意味由来,チェック日,チェック馬コメント,チェック馬コメント,馬コメント,馬コメント,予想コメント,予想コメント,結果コメント,結果コメント,KOL関係者コメント,KOL関係者コメント,KOL次走へのメモ,KOL次走へのメモ,レースコメント,レースコメント,騎手コメント,騎手コメント,調教師コメント,調教師コメント,ワーク1,ワーク1S,ワーク2,ワーク2S,ワーク3,ワーク3S,ワーク4,ワーク4S,間隔,休明戦目,前番,前人気,前着順,前着差,前確定着順,前入線順位,前異常コード,前走騎手,乗替,前斤量,斤量差,前馬体重,前馬体重増減,前走開催,前場所,同場,前レース印,前レース印2,前レース印3,前馬印1,前印2,前印3,前印4,前印5,前印6,前印7,前印8,前芝ダ,前距離,距離差,前芝ダ,今芝ダ,前走コースマーク,前走コースグループ数,前走コースグループ名1,前馬場状態,前ｸﾗｽ,前頭数,頭差,前通過1,前通過2,前通過3,前通過4,前脚質,前走決め手,前3F順,前走予想コメント,前走予想コメント,前走結果コメント,前走結果コメント,前走KOLコメント,前走KOLコメント,前走KOL次走メモ,前走KOL次走メモ,前レースコメント,前走レースコメント,レースID(旧),レースID(新),血統登録番号,トラックC,トラックコード(JV),クラスC,グレード,競走種別C,重量C,競走記号コード,性別コード,馬記号コード,見習いコード,調教師所属コード,騎手コード,調教師コード,馬主コード,前レースID(新),前レースID(旧)
1,0329,2026.3.29,中1,中山,2,1,未勝利・牝,09:55,未勝利,３歳,ダ,1800,1800,,,,,,16,16,16,,,,1,1,,,,,, サラサチャチャチャ,サラサチャチャチャ,,牝,3,牝,3,江田照男, 55 ,0.0,,(美),田中剛,美浦,,1,,,,,,,,,,,,,,,,,,,,1,2.6,30.2,1,1.1,1.2,40.4,133.8,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,,,,,,,,,,,720,0,6,6,0,3,0,3,0,3,0,3,0,0,0,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,,,,横井良明,,グランド牧場,,新ひだか町,ダノンスマッシュ,ネイティヴダンサー系,スズカエンジェル,"High Yield",ニアークティック系,"Hard Spun",ニアークティック系,Irgun,ロイヤルチャージャー系,鹿毛,2023,0415,"1972年 2月 8日(54歳)","1961年 2月13日(65歳)",アースエンジェル,4,トゥーサン,2,スピリットライズ,1,イントゥザターフ,2,グランドエンジェル,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,6,1,２着, 0.1,2,2,0,江田照男,, 55 ,0.0,464,-4,"260301 2中2  1R",中山,同場,,,,,,,,,,,,ダ,1800,0,ダ,ダ,,,,稍重,未勝利,16,0, 7, 7, 3, 3,先,先行,2,,,,,,,,,,,0626320101,202603290603020101,2023102581,1,24,7, ,12,3,023,2,00,0,1,00689,01119,430031,202603010602020106,0626220106
2,0329,2026.3.29,中1,中山,2,1,未勝利・牝,09:55,未勝利,３歳,ダ,1800,1800,,,,,,16,16,16,,,,1,2,,,,,, シルブプレ,シルブプレ,,牝,3,牝,3,黛弘人, 55 ,0.0,,(美),奥平雅士,美浦,,1,,,,,,,,,,,,,,,,,,,,13,94.1,0.8,11,14.7,29.3,0.9,100.7,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,那須野牧場,,恵比寿興業株式会社那須野牧場,,栃木県,ラニ,ナスルーラ系,ワンダフルキッス,ゴールドプルーフ,その他のエクリプス系,"Sunday Silence",ロイヤルチャージャー系,アグネスタキオン,ロイヤルチャージャー系,黒鹿,2023,0424,"1985年11月12日(40歳)","1972年 6月22日(53歳)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,初走,,,,,,,,,,,,,---,,初,,前無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0626320102,202603290603020102,2023109073,1,24,7, ,12,3,023,2,00,0,1,01109,01074,051800,,
3,0329,2026.3.29,中1,中山,2,1,未勝利・牝,09:55,未勝利,３歳,ダ,1800,1800,,,,,,16,16,16,,,,2,3,,,,,, リケアマカロニ,リケアマカロニ,,牝,3,牝,3,横山和生, 55 ,0.0,,(美),小野次郎,美浦,,1,,,,,,,,,,,,,,,,,,,,8,19.8,4.0,6,3.1,5.9,4.6,114.8,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,,,,,,,,,,,249,0,3,3,0,0,1,2,0,0,1,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,,,,稲場澄,,スイートフアーム,,様似町,ニューイヤーズデイ,ネイティヴダンサー系,ヴァバーウエン,"Kitten's Joy",ニアークティック系,"Dixie Union",ニアークティック系,"Gone West",ネイティヴダンサー系,栗毛,2023,0401,"1993年 3月23日(33歳)","1970年 8月 1日(55歳)",エアセイラン,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,5,3,５着, 1.3,5,5,0,横山和生,, 55 ,0.0,476,+8,"260228 2中1  4R",中山,同場,,,,,,,,,,,,ダ,1800,0,ダ,ダ,,,,重,未勝利,12,4,10,10, 7, 6,中,中団,4,,,,,,,,,,,0626320103,202603290603020103,2023104808,1,24,7, ,12,3,023,2,00,0,1,01140,01125,628031,202602280602010405,0626210405
4,0329,2026.3.29,中1,中山,2,1,未勝利・牝,09:55,未勝利,３歳,ダ,1800,1800,,,,,,16,16,16,,,,2,4,,,,,, ニケフェリーチェ,ニケフェリーチェ,,牝,3,牝,3,柴田大知, 55 ,0.0,,(美),秋本大介,美浦,,1,,,,,,,,,,,,,,,,,,,,15,140.4,0.6,14,21.1,42.2,0.6,103.6,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,,,,,,,,,,,0,0,7,7,0,0,0,7,0,0,0,7,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,,2,,飯田正剛,,千代田牧場,,新ひだか町,アジアエクスプレス,ニアークティック系,フロリール,クロフネ,ニアークティック系,"Running Stag",ナスルーラ系,サンデーサイレンス,ロイヤルチャージャー系,栗毛,2023,0302,"1977年 6月18日(48歳)","1981年 9月 1日(44歳)",オセアエクスプレス,2,オンザブルースカイ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,4,9,13,11着, 3.6,11,11,0,柴田大知,, 55 ,0.0,450,-2,"260125 1中9  2R",中山,同場,,,,,,,,,,,,ダ,1800,0,ダ,ダ,,,,良,未勝利,14,2, 7, 8, 9, 9,中,中団,11,,,,,,,,,,,0626320104,202603290603020104,2023102935,1,24,7, ,12,3,023,2,00,0,1,01009,01213,994002,202601250601090209,0626190209
5,0329,2026.3.29,中1,中山,2,1,未勝利・牝,09:55,未勝利,３歳,ダ,1800,1800,,,,,,16,16,16,,,,3,5,B,,,,, ギャニミード,ギャニミード,,牝,3,牝,3,ディー, 55 ,0.0,,(美),木村哲也,美浦,,1,,,,,,,,,,,,,,,,,,,,2,4.5,17.6,2,1.5,2.5,12.9,73.2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,,,,,,,,,,,65,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,キャロットファーム,,ノーザンファーム,,安平町,ドレフォン,ニアークティック系,シーリア,キングカメハメハ,ネイティヴダンサー系,Ghostzapper,ニアークティック系,スペシャルウィーク,ロイヤルチャージャー系,黒鹿,2023,0225,"1996年 4月13日(29歳)","1972年11月16日(53歳)",ヴィンセンシオ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1,4,3,５着, 0.1,5,5,0,内田博幸,替, 55 ,0.0,460,0,"260110 1中3  4R",中山,同場,,,,,,,,,,,,ダ,1800,0,ダ,ダ,,,,良,新馬,12,4, 5, 5, 6, 5,中,中団,3,,,,,,,,,,,0626320105,202603290603020105,2023107054,1,24,7, ,12,3,023,2,00,0,1,05674,01126,486800,202601100601030404,0626130404
6,0329,2026.3.29,中1,中山,2,1,未勝利・牝,09:55,未勝利,３歳,ダ,1800,1800,,,,,,16,16,16,,,,3,6,,,,,, マスカルポーネ,マスカルポーネ,,牝,3,牝,3,武藤雅, 55 ,0.0,,(美),水野貴広,美浦,,1,,,,,,,,,,,,,,,,,,,,6,17.7,4.5,8,4.1,7.8,3.4,75.6,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,,,,,,,,,,,89,0,5,5,0,0,0,5,0,0,0,5,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,,,,落合幸弘,,村上欽哉,,新冠町,リオンディーズ,ネイティヴダンサー系,ベーリーオクルス,キズナ,ロイヤルチャージャー系,スペシャルウィーク,ロイヤルチャージャー系,"Tale of the Cat",ニアークティック系,鹿毛,2023,0225,"1998年 1月10日(28歳)","1972年11月 2日(53歳)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,1,4,10着, 3.3,10,10,0,長浜鴻緒,替,53△,+2.0,440,-2,"260125 1中9  2R",中山,同場,,,,,,,,,,,,ダ,1800,0,ダ,ダ,,,,良,未勝利,14,2, 3, 4, 4, 4,先,先行,12,,,,,,,,,,,0626320106,202603290603020106,2023104632,1,24,7, ,12,3,023,2,00,0,1,01169,01094,252030,202601250601090201,0626190201
7,0329,2026.3.29,中1,中山,2,1,未勝利・牝,09:55,未勝利,３歳,ダ,1800,1800,,,,,,16,16,16,,,,4,7,,,,,, バイアブランカ,バイアブランカ,,牝,3,牝,3,津村明秀, 55 ,0.0,,(美),古賀慎明,美浦,,1,,,,,,,,,,,,,,,,,,,,5,9.5,8.4,3,1.7,3.0,10.2,121.8,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,,,,,,,,,,,148,0,2,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,村野康司,,社台ファーム,,千歳市,イスラボニータ,ロイヤルチャージャー系,リベルタンゴ,"Smart Strike",ネイティヴダンサー系,Cozzene,ナスルーラ系,"Pure Prize",ニアークティック系,栗毛,2023,0428,"1986年 1月 5日(40歳)","1965年 6月11日(60歳)",タンゴバイラリン,3,ロケベンドラ,1,プエルトボニータ,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,1,4,４着, 1.1,4,4,0,津村明秀,, 55 ,0.0,506,-4,"260301 2中2  1R",中山,同場,,,,,,,,,,,,ダ,1800,0,ダ,ダ,,,,稍重,未勝利,16,0, 5, 4, 3, 4,先,先行,7,,,,,,,,,,,0626320107,202603290603020107,2023103588,1,24,7, ,12,3,023,2,00,0,1,01092,01079,338007,202603010602020101,0626220101
8,0329,2026.3.29,中1,中山,2,1,未勝利・牝,09:55,未勝利,３歳,ダ,1800,1800,,,,,,16,16,16,,,,4,8,,,,,, クイーンズホリデー,クイーンズホリデー,,牝,3,牝,3,舟山瑠泉,52▲,-3.0,,(美),林徹,美浦,,1,,,,,,,,,,,,,,,,,,,,4,7.7,10.3,4,1.9,3.3,9.1,87.9,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,,,,,,,,,,,298,0,6,6,0,0,1,5,0,0,1,5,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,,,,鈴木剛史,,下河辺牧場,,日高町,オルフェーヴル,ロイヤルチャージャー系,タイキオードリー,キングカメハメハ,ネイティヴダンサー系,メジロマックイーン,トゥルビヨン系,"Edgy Diplomat",ニアークティック系,栗毛,2023,0419,"2006年 7月28日(19歳)","1979年 4月 4日(46歳)",スカイハイ,3,ギョウネン,2,スプマンテ,3,モンサンラファータ,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,11,4,３着, 0.5,3,3,0,岩田康誠,替, 55 ,-3.0,494,+14,"260314 2中5  1R",中山,同場,,,,,,,,,,,,ダ,1800,0,ダ,ダ,,,,良,未勝利,15,1, 2, 2, 2, 2,先,先行,8,,,,,,,,,,,0626320108,202603290603020108,2023100941,1,24,7, ,12,3,023,2,00,3,1,01221,01163,955033,202603140602050111,0626250111
9,0329,2026.3.29,中1,中山,2,1,未勝利・牝,09:55,未勝利,３歳,ダ,1800,1800,,,,,,16,16,16,,,,5,9,,,,,, パルフェ,パルフェ,,牝,3,牝,3,横山武史, 55 ,0.0,,(美),高柳瑞樹,美浦,,1,,,,,,,,,,,,,,,,,,,,3,7.4,10.7,5,1.9,3.4,8.7,81.5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,,,,,,,,,,,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,広尾レース,,木村秀則,,新ひだか町,ルヴァンスレーヴ,ロイヤルチャージャー系,エンパイアブルー,エンパイアメーカー,ネイティヴダンサー系,ネオユニヴァース,ロイヤルチャージャー系,サンデーサイレンス,ロイヤルチャージャー系,鹿毛,2023,0421,"1998年12月22日(27歳)","1975年 8月 1日(50歳)",ブルータス,3,マジックブルー,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1,5,1,７着, 0.6,7,7,0,菅原明良,替, 55 ,0.0,462,0,"260110 1中3  4R",中山,同場,,,,,,,,,,,,ダ,1800,0,ダ,ダ,,,,良,新馬,12,4, 3, 3, 3, 3,先,先行,8,,,,,,,,,,,0626320109,202603290603020109,2023106390,1,24,7, ,12,3,023,2,00,0,1,01170,01118,553800,202601100601030405,0626130405
10,0329,2026.3.29,中1,中山,2,1,未勝利・牝,09:55,未勝利,３歳,ダ,1800,1800,,,,,,16,16,16,,,,5,10,,,,,, オルナータス,オルナータス,,牝,3,牝,3,原田和真, 55 ,0.0,,(美),上原博之,美浦,,1,,,,,,,,,,,,,,,,,,,,11,55.2,1.4,10,12.7,25.2,1.0,68.9,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,,,,,,,,,,,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,ヒダカ・ブリーダーズ・ユニオン,,浜本牧場,,日高町,サトノダイヤモンド,ロイヤルチャージャー系,ケンジントン2,"Kitten's Joy",ニアークティック系,Orpen,ニアークティック系,Spectrum,ナスルーラ系,黒鹿,2023,0520,"1994年 1月15日(32歳)","1957年 1月25日(69歳)",ライジン,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,16,15,15着, 3.9,15,15,0,原田和真,, 55 ,0.0,496,0,"260131 1東1  1R",東京,別場,,,,,,,,,,,,ダ,1400,+400,ダ,ダ,,,,良,未勝利,16,0,,,10,10,中,中団,16,,,,,,,,,,,0626320110,202603290603020110,2023106171,1,24,7, ,12,3,023,2,00,0,1,01143,00423,547800,202601310501010116,0526110116
