No.,日付,日付S,場 R,場所,日次,Ｒ,レース名,発走時刻,クラス,年限定,芝ダ,距離,距離,外回り,コース区分,コースマーク,コースグループ数,コースグループ名1,頭,頭数,フルゲート頭数,R印1,レース印2,レース印3,枠番,馬番,B,馬印1,馬印2,馬印3,馬印4,馬名,馬名S,Ｃ,性,齢,性別,年齢,騎手,斤量,馬齢斤量差,斤量体重比,所属,調教師,所属,降級戦,投票,マイニング値,マイニング順位,ﾏｲ差,対戦型マイニング値,対戦型マイニング順位,Tﾏ差,指数1,指数順位1,指差1,指数2,指数順位2,指差2,指数3,指数順位3,指差3,指数4,指数順位4,指差4,取消しフラグ,人気,単オッズ,単ｼｪｱ,複勝人気,複勝オッズ下,上,複ｼｪｱ,単複S比,指時系1・単勝,指時系1・人気,指時系2・単勝,指時系2・人気,指時系3・単勝,指時系3・人気,指時系4・単勝,指時系4・人気,指時系1・複勝下,複上1,複人1,指時系2・複勝下,複上2,複人2,指時系3・複勝下,複上3,複人3,指時系4・複勝下,複上4,複人4,着,単勝,複勝,枠連配当,馬連配当,馬単配当,３連複配当,３連単配当,馬体重,増減,本賞金,収得賞金,キャリア(当時/取消等含),キャリア(最新),全1,全2,全3,全外,平1,平2,平3,平外,芝1,芝2,芝3,芝外,ダ1,ダ2,ダ3,ダ外,障1,障2,障3,障外,他1,他2,他3,他外,チェック騎手タイプ,チェック調教師タイプ,調教師多頭出し数,馬主多頭出し数,馬記号,馬主,馬主タイプ,生産者,生産者タイプ,産地,種牡馬,父タイプ名,母名,母父名,母父タイプ名,父母父名,父母父タイプ名,母母父名,母母父タイプ名,毛色,生年,誕生日,騎手誕生日(歳),調教師誕生日(歳),兄弟(収得1位),勝数,兄弟(収得2位),勝数,兄弟(収得3位),勝数,兄弟(収得4位),勝数,兄弟(収得5位),勝数,馬名の意味由来,チェック日,チェック馬コメント,チェック馬コメント,馬コメント,馬コメント,予想コメント,予想コメント,結果コメント,結果コメント,KOL関係者コメント,KOL関係者コメント,KOL次走へのメモ,KOL次走へのメモ,レースコメント,レースコメント,騎手コメント,騎手コメント,調教師コメント,調教師コメント,ワーク1,ワーク1S,ワーク2,ワーク2S,ワーク3,ワーク3S,ワーク4,ワーク4S,間隔,休明戦目,前番,前人気,前着順,前着差,前確定着順,前入線順位,前異常コード,前走騎手,乗替,前斤量,斤量差,前馬体重,前馬体重増減,前走開催,前場所,同場,前レース印,前レース印2,前レース印3,前馬印1,前印2,前印3,前印4,前印5,前印6,前印7,前印8,前芝ダ,前距離,距離差,前芝ダ,今芝ダ,前走コースマーク,前走コースグループ数,前走コースグループ名1,前馬場状態,前ｸﾗｽ,前頭数,頭差,前通過1,前通過2,前通過3,前通過4,前脚質,前走決め手,前3F順,前走予想コメント,前走予想コメント,前走結果コメント,前走結果コメント,前走KOLコメント,前走KOLコメント,前走KOL次走メモ,前走KOL次走メモ,前レースコメント,前走レースコメント,レースID(旧),レースID(新),血統登録番号,トラックC,トラックコード(JV),クラスC,グレード,競走種別C,重量C,競走記号コード,性別コード,馬記号コード,見習いコード,調教師所属コード,騎手コード,調教師コード,馬主コード,前レースID(新),前レースID(旧)
1,0328,2026.3.28,中1,中山,1,1,未勝利・牝,10:05,未勝利,３歳,ダ,1200,1200,,,,,,16,16,16,,,,1,1,,,,,, ジェイエルグリーン,ジェイエルグリーン,,牝,3,牝,3,横山和生, 55 ,0.0,,(美),平岩大典,美浦,,1,,,,,,,,,,,,,,,,,,,,8,47.9,1.7,8,4.3,19.0,1.3,80.3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,,,,,,,,,,,59,0,2,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,橋元幸人,,ナカノファーム,,日高町,アニマルキングダム,ナスルーラ系,ジェイエルマリーン,バゴ,ナスルーラ系,Acatenango,その他のエクリプス系,サンデーサイレンス,ロイヤルチャージャー系,栗毛,2023,0429,"1993年 3月23日(33歳)","1983年 3月31日(42歳)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,12,7,５着, 4.1,5,5,0,横山和生,, 55 ,0.0,450,-8,"260228 2中1  2R",中山,同場,,,,,,,,,,,,ダ,1800,-600,ダ,ダ,,,,重,未勝利,15,1, 9, 9, 4, 3,先,先行,8,,,,,,,,,,,0626310101,202603280603010101,2023106314,1,24,7, ,12,3,023,2,00,0,1,01140,01219,173033,202602280602010212,0626210212
2,0328,2026.3.28,中1,中山,1,1,未勝利・牝,10:05,未勝利,３歳,ダ,1200,1200,,,,,,16,16,16,,,,1,2,,,,,, シシリアンキッス,シシリアンキッス,,牝,3,牝,3,小林脩斗, 55 ,0.0,,(美),佐藤吉勝,美浦,,1,,,,,,,,,,,,,,,,,,,,14,167.5,0.5,13,14.8,70.2,0.4,74.2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,,,,,,,,,,,0,0,3,3,0,0,0,3,0,0,0,3,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,2,,田頭勇貴,,村上欽哉,,新冠町,イスラボニータ,ロイヤルチャージャー系,シセイイワイ,ヴィクトワールピサ,ロイヤルチャージャー系,Cozzene,ナスルーラ系,ブライアンズタイム,ロイヤルチャージャー系,青鹿,2023,0419,"2001年11月 8日(24歳)","1957年11月 4日(68歳)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1,1,13,16着, 8.6,16,16,0,菊沢一樹,替, 55 ,0.0,446,+12,"260111 1中4  2R",中山,同場,,,,,,,,,,,,ダ,1800,-600,ダ,ダ,,,,良,未勝利,16,0,11,10,14,16,後,後方,16,,,,,,,,,,,0626310102,202603280603010102,2023104616,1,24,7, ,12,3,023,2,00,0,1,01183,01035,855030,202601110601040201,0626140201
3,0328,2026.3.28,中1,中山,1,1,未勝利・牝,10:05,未勝利,３歳,ダ,1200,1200,,,,,,16,16,16,,,,2,3,,,,,, ニシノギャルズ,ニシノギャルズ,,牝,3,牝,3,武藤雅, 55 ,0.0,,(美),水野貴広,美浦,,1,,,,,,,,,,,,,,,,,,,,7,23.7,3.4,5,2.5,10.5,2.5,73.9,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,,,,,,,,,,,89,0,3,3,0,0,0,3,0,0,0,3,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,,,西山茂行,,前田ファーム,,新ひだか町,セイウンコウセイ,ネイティヴダンサー系,フィールドボニータ,コロナドズクエスト,ネイティヴダンサー系,Capote,ナスルーラ系,"Summer Squall",ニアークティック系,栗毛,2023,0324,"1998年 1月10日(28歳)","1972年11月 2日(53歳)",グリンデルヴァルト,3,ポークチョップ,2,ウインヴァモス,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,13,9,４着, 1.0,4,4,0,武藤雅,, 55 ,0.0,470,+6,"260307 2中3  1R",中山,同場,,,,,,,,,,,,ダ,1200,0,ダ,ダ,,,,重,未勝利,16,0,,, 3, 3,先,先行,6,,,,,,,,,,,0626310103,202603280603010103,2023100360,1,24,7, ,12,3,023,2,00,0,1,01169,01094,897009,202603070602030113,0626230113
4,0328,2026.3.28,中1,中山,1,1,未勝利・牝,10:05,未勝利,３歳,ダ,1200,1200,,,,,,16,16,16,,,,2,4,,,,,, ラブカニュー,ラブカニュー,,牝,3,牝,3,秋山稔樹, 55 ,0.0,,(美),蛯名利弘,美浦,,1,,,,,,,,,,,,,,,,,,,,16,204.3,0.4,16,26.4,126.7,0.2,49.9,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,,,,,,,,,,,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,増田陽一,,目名太山口牧場,,浦河町,ニューイヤーズデイ,ネイティヴダンサー系,トーコーニーケ,キングカメハメハ,ネイティヴダンサー系,"Dixie Union",ニアークティック系,サンデーサイレンス,ロイヤルチャージャー系,黒鹿,2023,0506,"2001年 9月12日(24歳)","1961年 3月10日(65歳)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1,6,12,12着, 5.4,12,12,0,江田照男,替, 55 ,0.0,468,0,"260110 1中3  4R",中山,同場,,,,,,,,,,,,ダ,1800,-600,ダ,ダ,,,,良,新馬,12,4,11,11,10,11,後,後方,12,,,,,,,,,,,0626310104,202603280603010104,2023107467,1,24,7, ,12,3,023,2,00,0,1,01181,01131,291002,202601100601030406,0626130406
5,0328,2026.3.28,中1,中山,1,1,未勝利・牝,10:05,未勝利,３歳,ダ,1200,1200,,,,,,16,16,16,,,,3,5,,,,,, アインプロージット,アインプロージット,,牝,3,牝,3,佐々木大, 55 ,0.0,,(美),萩原清,美浦,,1,,,,,,,,,,,,,,,,,,,,11,80.9,1.0,11,8.9,41.7,0.6,60.7,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,ノースヒルズ,,ノースヒルズ,,新冠町,クリソベリル,ロイヤルチャージャー系,ユナリオンス,Shamardal,ニアークティック系,エルコンドルパサー,ネイティヴダンサー系,"Gold Away",ニアークティック系,黒鹿,2023,0414,"2003年11月24日(22歳)","1959年 3月 3日(67歳)",,,,,,,,,,,乾杯しよう、乾杯の歌（独）,,,,,,,,,,,,,,,,,,,,,,,,,,,,初走,,,,,,,,,,,,,---,,初,,前無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0626310105,202603280603010105,2023104415,1,24,7, ,12,3,023,2,00,0,1,01197,01017,788800,,
6,0328,2026.3.28,中1,中山,1,1,未勝利・牝,10:05,未勝利,３歳,ダ,1200,1200,,,,,,16,16,16,,,,3,6,B,,,,, オーシャンステラ,オーシャンステラ,,牝,3,牝,3,石田拓郎,52▲,-3.0,,(美),菊沢隆徳,美浦,,1,,,,,,,,,,,,,,,,,,,,3,11.4,7.0,7,3.2,13.6,1.9,27.1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,,,,,,,,,,,84,0,4,4,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,ライオンレースホース,,ノーザンファーム,,安平町,ゴールドシップ,ロイヤルチャージャー系,プリティカリーナ,"Seeking the Gold",ネイティヴダンサー系,メジロマックイーン,トゥルビヨン系,"Storm Cat",ニアークティック系,黒鹿,2023,0323,"2005年 1月20日(21歳)","1970年 2月10日(56歳)",エクレアスパークル,6,アルゴナヴィス,3,アンタラジー,4,アグレアーブル,3,ジャミールフエルテ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1,7,8,８着, 0.6,8,8,0,菊沢一樹,替, 55 ,-3.0,422,+2,"260117 1中6  9R",中山,同場,,,,,,,,,,,,芝,1600,-400,芝,ダ,,,,良,1勝,8,8,, 7, 8, 7,後,後方,2,,,,,,,,,,,0626310106,202603280603010106,2023107206,1,24,7, ,12,3,023,2,00,3,1,01203,01115,542800,202601170601060907,0626160907
7,0328,2026.3.28,中1,中山,1,1,未勝利・牝,10:05,未勝利,３歳,ダ,1200,1200,,,,,,16,16,16,,,,4,7,,,,,, アイムインディ,アイムインディ,,牝,3,牝,3,ルメール, 55 ,0.0,,(美),蛯名正義,美浦,,1,,,,,,,,,,,,,,,,,,,,1,1.4,53.4,1,1.1,1.1,72.9,136.5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,,,,,,,,,,,390,0,2,2,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,山本又一郎,,ノーザンファーム,,安平町,インディチャンプ,ロイヤルチャージャー系,アイムユアーズ2,"Invincible Spirit",ニアークティック系,キングカメハメハ,ネイティヴダンサー系,Robellino,ロイヤルチャージャー系,鹿毛,2023,0222,"1979年 5月20日(46歳)","1969年 3月19日(57歳)",アドマイヤイル,1,ディアボリカドンナ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,3,２着, 0.6,2,2,0,武豊,替, 55 ,0.0,448,0,"260307 2中3  1R",中山,同場,,,,,,,,,,,,ダ,1200,0,ダ,ダ,,,,重,未勝利,16,0,,, 1, 1,逃,逃げ,4,,,,,,,,,,,0626310107,202603280603010107,2023105263,1,24,7, ,12,3,023,2,00,0,1,05339,01191,972033,202603070602030101,0626230101
8,0328,2026.3.28,中1,中山,1,1,未勝利・牝,10:05,未勝利,３歳,ダ,1200,1200,,,,,,16,16,16,,,,4,8,,,,,, キタノエンブラ,キタノエンブラ,,牝,3,牝,3,上里直汰,52▲,-3.0,,(美),萱野浩二,美浦,,1,,,,,,,,,,,,,,,,,,,,15,189.6,0.4,15,21.0,100.3,0.2,58.6,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,北所直人,,中央牧場,,新冠町,ハッピースプリント,ロイヤルチャージャー系,エムオーパール,ステイゴールド,ロイヤルチャージャー系,Dayjur,ニアークティック系,"Fairy King",ニアークティック系,黒鹿,2023,0520,"2007年 3月 1日(19歳)","1960年 2月28日(66歳)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,初走,,,,,,,,,,,,,---,,初,,前無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0626310108,202603280603010108,2023106125,1,24,7, ,12,3,023,2,00,3,1,01217,01024,163002,,
9,0328,2026.3.28,中1,中山,1,1,未勝利・牝,10:05,未勝利,３歳,ダ,1200,1200,,,,,,16,16,16,,,,5,9,B,,,,, マジェステラ,マジェステラ,,牝,3,牝,3,ディー, 55 ,0.0,,(美),千葉直人,美浦,,1,,,,,,,,,,,,,,,,,,,,2,5.5,14.4,2,1.3,3.7,7.9,55.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,,,,,,,,,,,430,0,5,5,0,1,1,3,0,1,1,3,0,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,,,,ノルマンディーサラブレッドレーシング,,岡田スタツド,,新ひだか町,ディーマジェスティ,ロイヤルチャージャー系,テルヌーヴ,Henrythenavigator,ネイティヴダンサー系,ブライアンズタイム,ロイヤルチャージャー系,Siphon,セントサイモン系,鹿毛,2023,0228,"1996年 4月13日(29歳)","1986年 7月30日(39歳)",ホウオウカトリーヌ,2,ホウオウスミヨシ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,12,7,２着, 0.0,2,2,0,ディー,, 55 ,0.0,478,+2,"260314 1名1  2R",中京,別場,,,,,,,,,,,,ダ,1200,0,ダ,ダ,,,,良,未勝利,16,0,,, 2, 2,先,先行,4,,,,,,,,,,,0626310109,202603280603010109,2023102390,1,24,7, ,12,3,023,2,00,0,1,05674,01199,854800,202603140701010212,0726110212
10,0328,2026.3.28,中1,中山,1,1,未勝利・牝,10:05,未勝利,３歳,ダ,1200,1200,,,,,,16,16,16,,,,5,10,,,,,, ミュージックレイン,ミュージックレイン,,牝,3,牝,3,江田照男, 55 ,0.0,,(美),村田一誠,美浦,,1,,,,,,,,,,,,,,,,,,,,6,20.4,3.9,6,2.7,11.1,2.3,60.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,,,,,,,,,,,0,0,4,4,0,0,0,4,0,0,0,4,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,阿南雅浩,,スイートフアーム,,様似町,マテラスカイ,ネイティヴダンサー系,ミスティレイン,タニノギムレット,ロイヤルチャージャー系,Rahy,ナスルーラ系,"Dubai Millennium",ネイティヴダンサー系,鹿毛,2023,0427,"1972年 2月 8日(54歳)","1978年12月20日(47歳)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,4,5,７着, 1.1,7,7,0,江田照男,, 55 ,0.0,452,0,"251213 5中3  1R",中山,同場,,,,,,,,,,,,ダ,1200,0,ダ,ダ,,,,良,未勝利,14,2,,, 1, 1,逃,逃げ,11,,,,,,,,,,,0626310110,202603280603010110,2023104810,1,24,7, ,12,3,023,2,00,0,1,00689,01190,186034,202512130605030104,0625530104
