No.,日付,日付S,場 R,場所,日次,Ｒ,レース名,発走時刻,クラス,年限定,芝ダ,距離,距離,外回り,コース区分,コースマーク,コースグループ数,コースグループ名1,頭,頭数,フルゲート頭数,R印1,レース印2,レース印3,枠番,馬番,B,馬印1,馬印2,馬印3,馬印4,馬名,馬名S,Ｃ,性,齢,性別,年齢,騎手,斤量,馬齢斤量差,斤量体重比,所属,調教師,所属,降級戦,投票,マイニング値,マイニング順位,ﾏｲ差,対戦型マイニング値,対戦型マイニング順位,Tﾏ差,指数1,指数順位1,指差1,指数2,指数順位2,指差2,指数3,指数順位3,指差3,指数4,指数順位4,指差4,取消しフラグ,人気,単オッズ,単ｼｪｱ,複勝人気,複勝オッズ下,上,複ｼｪｱ,単複S比,指時系1・単勝,指時系1・人気,指時系2・単勝,指時系2・人気,指時系3・単勝,指時系3・人気,指時系4・単勝,指時系4・人気,指時系1・複勝下,複上1,複人1,指時系2・複勝下,複上2,複人2,指時系3・複勝下,複上3,複人3,指時系4・複勝下,複上4,複人4,着,単勝,複勝,枠連配当,馬連配当,馬単配当,３連複配当,３連単配当,馬体重,増減,本賞金,収得賞金,キャリア(当時/取消等含),キャリア(最新),全1,全2,全3,全外,平1,平2,平3,平外,芝1,芝2,芝3,芝外,ダ1,ダ2,ダ3,ダ外,障1,障2,障3,障外,他1,他2,他3,他外,チェック騎手タイプ,チェック調教師タイプ,調教師多頭出し数,馬主多頭出し数,馬記号,馬主,馬主タイプ,生産者,生産者タイプ,産地,種牡馬,父タイプ名,母名,母父名,母父タイプ名,父母父名,父母父タイプ名,母母父名,母母父タイプ名,毛色,生年,誕生日,騎手誕生日(歳),調教師誕生日(歳),兄弟(収得1位),勝数,兄弟(収得2位),勝数,兄弟(収得3位),勝数,兄弟(収得4位),勝数,兄弟(収得5位),勝数,馬名の意味由来,チェック日,チェック馬コメント,チェック馬コメント,馬コメント,馬コメント,予想コメント,予想コメント,結果コメント,結果コメント,KOL関係者コメント,KOL関係者コメント,KOL次走へのメモ,KOL次走へのメモ,レースコメント,レースコメント,騎手コメント,騎手コメント,調教師コメント,調教師コメント,ワーク1,ワーク1S,ワーク2,ワーク2S,ワーク3,ワーク3S,ワーク4,ワーク4S,間隔,休明戦目,前番,前人気,前着順,前着差,前確定着順,前入線順位,前異常コード,前走騎手,乗替,前斤量,斤量差,前馬体重,前馬体重増減,前走開催,前場所,同場,前レース印,前レース印2,前レース印3,前馬印1,前印2,前印3,前印4,前印5,前印6,前印7,前印8,前芝ダ,前距離,距離差,前芝ダ,今芝ダ,前走コースマーク,前走コースグループ数,前走コースグループ名1,前馬場状態,前ｸﾗｽ,前頭数,頭差,前通過1,前通過2,前通過3,前通過4,前脚質,前走決め手,前3F順,前走予想コメント,前走予想コメント,前走結果コメント,前走結果コメント,前走KOLコメント,前走KOLコメント,前走KOL次走メモ,前走KOL次走メモ,前レースコメント,前走レースコメント,レースID(旧),レースID(新),血統登録番号,トラックC,トラックコード(JV),クラスC,グレード,競走種別C,重量C,競走記号コード,性別コード,馬記号コード,見習いコード,調教師所属コード,騎手コード,調教師コード,馬主コード,前レースID(新),前レースID(旧)
1,0322,2026.3.22,中1,中山,8,1,未勝利,09:55,未勝利,３歳,ダ,1200,1200,,,,,,16,16,16,,,,1,1,,,,,, バル,バル,,牡,3,牡,3,菊沢一樹, 57 ,0.0,11.1,(美),武市康男,美浦,,1,,,,,,,,,,,,,,,,,,,,8,35.3,2.3,9,4.9,12.7,2.0,89.7,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,,,,,,,,,514,+ 2,169,0,3,3,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,,,,永田和彦,,エムエム、ヤマダファーム,,浦河町,マテラスカイ,ネイティヴダンサー系,ローザディアマント,スペシャルウィーク,ロイヤルチャージャー系,Rahy,ナスルーラ系,アフリート,ネイティヴダンサー系,栗毛,2023,0330,"1997年 8月27日(28歳)","1971年 7月 9日(54歳)",ヴォランテ,8,フリーセント,5,,,,,,,頑張るの「ばる」,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,10,3,10着, 2.2,10,10,0,柴田大知,替, 57 ,0.0,512,+4,"260125 1中9  3R",中山,同場,,,,,,,,,,,,ダ,1200,0,ダ,ダ,,,,良,未勝利,16,0,,, 4, 4,先,先行,13,,,,,,,,,,,0626280101,202603220602080101,2023101664,1,24,7, ,12,3,003,1,00,0,1,01161,01089,875006,202601250601090310,0626190310
2,0322,2026.3.22,中1,中山,8,1,未勝利,09:55,未勝利,３歳,ダ,1200,1200,,,,,,16,16,16,,,,1,2,,,,,, シュートザムーン,シュートザムーン,,牡,3,牡,3,野中悠太, 57 ,0.0,13.7,(美),伊藤伸一,美浦,,1,,,,,,,,,,,,,,,,,,,,15,189.0,0.4,15,24.6,67.5,0.4,86.8,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,,,,,,,,,416,- 2,0,0,4,4,0,0,0,4,0,0,0,4,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,久保直樹,,日西牧場,,日高町,サトノジェネシス,ロイヤルチャージャー系,ムーンエコロジー,クリーンエコロジー,ネイティヴダンサー系,Orpen,ニアークティック系,Pulpit,ナスルーラ系,鹿毛,2023,0512,"1996年12月29日(29歳)","1959年 7月17日(66歳)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,1,11,12着, 2.5,12,12,0,原優介,替, 57 ,0.0,418,+4,"260210 1東4  1R",東京,別場,,,,,,,,,,,,ダ,1400,-200,ダ,ダ,,,,稍重,未勝利,16,0,,, 3, 4,先,先行,13,,,,,,,,,,,0626280102,202603220602080102,2023101279,1,24,7, ,12,3,003,1,00,0,1,01158,01031,182034,202602100501040101,0526140101
3,0322,2026.3.22,中1,中山,8,1,未勝利,09:55,未勝利,３歳,ダ,1200,1200,,,,,,16,16,16,,,,2,3,,,,,, テルケンレンタッチ,テルケンレンタッチ,,牡,3,牡,3,木幡育也, 57 ,0.0,10.9,(美),勢司和浩,美浦,,1,,,,,,,,,,,,,,,,,,,,12,143.6,0.6,14,21.5,59.0,0.4,75.6,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,,,,,,,,,522,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,桑田照夫,,日本中央競馬会日高育成牧場,,浦河町,エスケンデレヤ,ニアークティック系,ジョディアリエル,ドゥラメンテ,ネイティヴダンサー系,"Seattle Slew",ナスルーラ系,サクラバクシンオー,ナスルーラ系,栗毛,2023,0220,"1998年 9月21日(27歳)","1962年 2月14日(64歳)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,初走,,,,,,,,,,,,,---,,初,,前無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0626280103,202603220602080103,2023102159,1,24,7, ,12,3,003,1,00,0,1,01167,01047,800031,,
4,0322,2026.3.22,中1,中山,8,1,未勝利,09:55,未勝利,３歳,ダ,1200,1200,,,,,,16,16,16,,,,2,4,,,,,, デスサイズ,デスサイズ,,牡,3,牡,3,石川裕紀, 57 ,0.0,12.3,(美),小手川準,美浦,,1,,,,,,,,,,,,,,,,,,,,1,1.6,48.2,1,1.1,1.1,57.2,118.7,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,,,,,,,,,462,+ 2,500,0,2,2,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,東豊物産,,竹島幸治,,日高町,シスキン,ネイティヴダンサー系,トーホウハニー,ステイゴールド,ロイヤルチャージャー系,"Oasis Dream",ニアークティック系,Meadowlake,セントサイモン系,鹿毛,2023,0430,"1995年 9月22日(30歳)","1971年11月16日(54歳)",ハニーローリエ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,8,2,２着, 0.4,2,2,0,石川裕紀,, 57 ,0.0,460,-6,"260228 2中1  3R",中山,同場,,,,,,,,,,,,ダ,1200,0,ダ,ダ,,,,重,未勝利,16,0,,, 2, 2,先,先行,5,,,,,,,,,,,0626280104,202603220602080104,2023101085,1,24,7, ,12,3,003,1,00,0,1,01150,01171,965800,202602280602010308,0626210308
5,0322,2026.3.22,中1,中山,8,1,未勝利,09:55,未勝利,３歳,ダ,1200,1200,,,,,,16,16,16,,,,3,5,,,,,, メイショウバリスタ,メイショウバリスタ,,牡,3,牡,3,柴田善臣, 57 ,0.0,12.7,(美),西田雄一,美浦,,1,,,,,,,,,,,,,,,,,,,,9,37.3,2.1,8,4.8,12.4,2.1,97.2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,,,,,,,,,448,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,松本好隆,,太陽牧場,,浦河町,ワールドエース,ロイヤルチャージャー系,レジーナカフェ,ノヴェリスト,その他のエクリプス系,Acatenango,その他のエクリプス系,イーグルカフェ,ネイティヴダンサー系,鹿毛,2023,0314,"1966年 7月30日(59歳)","1974年10月14日(51歳)",,,,,,,,,,,冠名＋バリスタ,,,,,,,,,,,,,,,,,,,,,,,,,,,,初走,,,,,,,,,,,,,---,,初,,前無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0626280105,202603220602080105,2023102069,1,24,7, ,12,3,003,1,00,0,1,00641,01187,911008,,
6,0322,2026.3.22,中1,中山,8,1,未勝利,09:55,未勝利,３歳,ダ,1200,1200,,,,,,16,16,16,,,,3,6,,,,,, パンジー,パンジー,,牝,3,牝,3,黛弘人, 55 ,0.0,12.3,(美),深山雅史,美浦,,1,,,,,,,,,,,,,,,,,,,,10,69.3,1.2,10,9.1,24.6,1.0,88.8,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,,,,,,,,,446,+ 6,140,0,7,7,0,0,1,6,0,0,1,6,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,ミルファーム,,ミルファーム,,浦河町,ウインブライト,ロイヤルチャージャー系,カレン,ディープブリランテ,ロイヤルチャージャー系,アドマイヤコジーン,ナスルーラ系,"Unbridled's Song",ネイティヴダンサー系,芦毛,2023,0311,"1985年11月12日(40歳)","1977年 2月 8日(49歳)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,12,10,13着, 2.9,13,13,0,橋木太希,替,52▲,+3.0,440,-14,"260215 2京6  5R",京都,別場,,,,,,,,,,,,芝,2000,-800,芝,ダ,,,,良,未勝利,15,1, 2, 4, 3, 3,先,先行,15,,,,,,,,,,,0626280106,202603220602080106,2023106589,1,24,7, ,12,3,003,2,00,0,1,01109,01174,629800,202602150802060512,0826260512
7,0322,2026.3.22,中1,中山,8,1,未勝利,09:55,未勝利,３歳,ダ,1200,1200,,,,,,16,16,16,,,,4,7,,,,,, ヨドノティアラ,ヨドノティアラ,,牝,3,牝,3,津村明秀, 55 ,0.0,12.3,(美),矢嶋大樹,美浦,,1,,,,,,,,,,,,,,,,,,,,2,6.0,13.2,3,1.6,3.6,8.2,61.8,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,,,,,,,,,448,0,386,0,5,5,0,1,0,4,0,1,0,4,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,海原聖一,,林農場,,浦河町,マテラスカイ,ネイティヴダンサー系,ヨドノプルメリア,アンライバルド,ロイヤルチャージャー系,Rahy,ナスルーラ系,バゴ,ナスルーラ系,栗毛,2023,0430,"1986年 1月 5日(40歳)","1979年 8月 2日(46歳)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,10,5,６着, 0.4,6,6,0,津村明秀,, 55 ,0.0,448,+14,"260214 1東5  5R",東京,別場,,,,,,,,,,,,芝,1400,-200,芝,ダ,,,,良,未勝利,16,0,,, 2, 2,先,先行,9,,,,,,,,,,,0626280107,202603220602080107,2023101827,1,24,7, ,12,3,003,2,00,0,1,01092,01202,471002,202602140501050510,0526150510
8,0322,2026.3.22,中1,中山,8,1,未勝利,09:55,未勝利,３歳,ダ,1200,1200,,,,,,16,16,16,,,,4,8,,,,,, ウシャス,ウシャス,,牝,3,牝,3,長浜鴻緒,53△,-2.0,12.0,(美),平岩大典,美浦,,1,,,,,,,,,,,,,,,,,,,,14,178.4,0.4,12,17.9,49.0,0.5,113.3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,,,,,,,,,440,+ 4,0,0,3,3,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,,,,岡田牧雄,,岡田スタツド,,新ひだか町,ゴールドドリーム,ロイヤルチャージャー系,ヴンダーゾンネ,グラスワンダー,ロイヤルチャージャー系,フレンチデピュティ,ニアークティック系,"Forty Niner",ネイティヴダンサー系,栗毛,2023,0515,"2005年11月12日(20歳)","1983年 3月31日(42歳)",アリンナ,5,ファビュラススター,2,サンディレクション,2,ホウオウヴォーヌ,2,ナッツスター,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,10,16,15着, 4.0,15,15,0,藤懸貴志,替, 55 ,-2.0,436,0,"260214 2京5  2R",京都,別場,,,,,,,,,,,,ダ,1200,0,ダ,ダ,,,,稍重,未勝利,16,0,,,15,14,後,後方,13,,,,,,,,,,,0626280108,202603220602080108,2023102365,1,24,7, ,12,3,003,2,00,2,1,01214,01219,851009,202602140802050210,0826250210
9,0322,2026.3.22,中1,中山,8,1,未勝利,09:55,未勝利,３歳,ダ,1200,1200,,,,,,16,16,16,,,,5,9,,,,,, マダックス,マダックス,,牡,3,牡,3,大野拓弥, 57 ,0.0,12.6,(美),高柳瑞樹,美浦,,1,,,,,,,,,,,,,,,,,,,,4,12.2,6.5,4,1.9,4.4,6.5,98.9,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,,,,,,,,,454,- 2,89,0,2,2,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,小林由明,,飯岡牧場,,新ひだか町,マクフィ,ネイティヴダンサー系,ジュエルメッセージ,ダイワメジャー,ロイヤルチャージャー系,"Green Desert",ニアークティック系,シンボリクリスエス,ロイヤルチャージャー系,鹿毛,2023,0430,"1986年 9月 8日(39歳)","1975年 8月 1日(50歳)",イエスウィズキャン,1,,,,,,,,,野球で投手が９回以上を１００球未満で完封勝利すること,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,15,7,４着, 0.9,4,4,0,大野拓弥,, 57 ,0.0,456,0,"260228 2中1  3R",中山,同場,,,,,,,,,,,,ダ,1200,0,ダ,ダ,,,,重,未勝利,16,0,,, 8, 6,中,差し,5,,,,,,,,,,,0626280109,202603220602080109,2023100002,1,24,7, ,12,3,003,1,00,0,1,01096,01118,933033,202602280602010315,0626210315
10,0322,2026.3.22,中1,中山,8,1,未勝利,09:55,未勝利,３歳,ダ,1200,1200,,,,,,16,16,16,,,,5,10,,,,,, ハンナパール,ハンナパール,,牝,3,牝,3,吉田豊, 55 ,0.0,12.6,(美),小野次郎,美浦,,1,,,,,,,,,,,,,,,,,,,,11,116.5,0.7,11,15.7,42.9,0.6,84.7,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,,,,,,,,,436,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,HMジャパン,,エトルタファーム,,日高町,ミッキーグローリー,ロイヤルチャージャー系,ラベルリュンヌ,トーホウエンペラー,ロイヤルチャージャー系,ホワイトマズル,ニアークティック系,バゴ,ナスルーラ系,黒鹿,2023,0518,"1975年 4月19日(50歳)","1970年 8月 1日(55歳)",フェールブリエ,1,,,,,,,,,恵に由来する欧州の女性名＋真珠。真珠のような恵,,,,,,,,,,,,,,,,,,,,,,,,,,,,初走,,,,,,,,,,,,,---,,初,,前無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0626280110,202603220602080110,2023100692,1,24,7, ,12,3,003,2,00,0,1,00733,01125,142034,,
